,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Number customer service calls,Churner
1007,0.16389685345900135,-0.9769433955648807,0.060934764002402386,-0.7120751080686395,-0.8728573702797151,2.3825168336932108,0.022594427166385586,3.800711262858239,0.2769331707304663,0.15780614454078593,0.44264520975183835,0.9448581442208805,-1.4122375020015951,1.1931957654565908,0.07423973256764556,0.5610288414098208,0.21723895102024746,-0.11920802652429707,1
1783,1.3845531046904527,-0.29668869395200054,-0.06714594339577107,-0.29447172669769744,-0.34307912562888443,-0.7327789846330176,0.8014701045526734,-0.8323756184512177,-0.4435527531314906,-0.2664839106056942,0.23393607238678857,1.4455542271255901,0.5547257084290202,0.5037483721946702,-0.6355072772227383,-0.8926677527254636,-0.4939425282629204,5.046133495198041,1
466,0.5006813252494522,1.7188173197427594,-0.3275804788134784,-0.6183962614101809,-0.5917598578997325,1.3831433083576012,-0.370557978465078,1.3834121806437563,1.3000304724308842,-0.15634378922337147,1.3007963852843158,-0.06273031124434551,0.9144734624925892,-0.06122742699930885,-0.5148968515557808,-0.6011950896927287,-0.5102854065769103,1.0926409279808003,1
1298,0.7714663651696991,0.9544593922594199,3.618995507012908,0.651027902676648,1.4716026292722213,0.6419939266568485,-1.3649055219522461,1.8038523709533583,0.02340906385387978,0.5739487490154498,0.3362061973494239,-0.422183307692975,-0.42473638707222044,0.575595546187016,1.2863952660705418,0.8322743810435381,0.6196253091198847,-0.5076459744484211,1
3051,0.34998863452736223,-0.5236032802413713,-0.3275804788134784,-0.6183962614101809,-0.5917598578997325,-0.24376217799662697,0.5264785126794113,-0.24328107440308486,0.6945822591317629,-0.10614206962014429,0.6952308804945385,0.09350034653264798,-0.41438444498930566,0.09258279968640254,1.9211386775958388,-1.0075595662585095,1.9178667423540094,-0.4279320210630441,0
757,0.27464228916631733,-0.5236032802413713,-0.3275804788134784,-0.6183962614101809,-0.5917598578997325,-1.1747340533708863,0.3769724308219964,-1.1743631367207321,0.8346044843572931,0.5464802852218092,0.8344413413657519,-0.3217963386973344,-1.1299233182487876,-0.3205075234123654,1.0255373801136256,0.21153386343883274,1.0288711468437821,-0.4279320210630441,0
2674,-0.1444921141619517,-0.005742036637751762,-0.14804806005905158,-1.1931779026947893,-0.7759478483665699,-0.5793547300693987,0.8446393133627735,-0.8974358584598363,-0.1280084224135033,1.5769747892178336,0.057376940597528486,1.4262189111323462,0.9491054797752971,1.3200065689333615,0.580971726175392,1.7605156241107178,-0.19979682822109165,7.392910198732265,1
2130,0.22700212921007576,-0.8544712830868979,1.407660396738545,-1.4387856720847187,-0.969108151184104,-2.395108698062004,-0.8742515203989992,-3.6796581529828045,-1.5318277191665974,0.5704434372026432,-1.021040252090951,-1.4994767649760614,-0.19006883034310473,-0.8065833895744101,0.8980833778723639,-1.4760705742600349,0.7563863477345997,4.092781760055293,1
2242,2.283878165460849,-0.5236032802413713,-0.3275804788134784,-0.6183962614101809,-0.5917598578997325,0.09594156351074574,-0.6197347815607694,0.095883389132578,0.4717299851812722,-0.10614206962014429,0.47249414310059834,0.2279773684166425,0.25004450875164175,0.22881471475089013,0.4165284978257209,-0.6011950896927287,0.41851596186661105,0.3323544534588781,0
992,-0.47638006041335196,1.9953189488703733,5.296066107666121,-0.9430642192477399,-0.6401384799364586,0.47628785943579827,0.03216698391883522,1.7370972834734775,1.3536868103443305,0.14836390950560335,0.8760013554584227,-2.486788999514316,-0.09511636573753429,-2.285670165339672,2.5099525003146677,-0.10673013678201984,3.1767467433218766,0.4799627817217304,1
77,-1.433208205684035,1.7188173197427594,-0.3275804788134784,-0.6183962614101809,-0.5917598578997325,1.9891013337491315,0.5763138732985496,1.989371620272759,1.1245096548946572,-0.40735238723950745,1.1244631348474456,-0.16754328418334075,-0.5166042840263745,-0.166697296726654,-0.013360124965741862,-0.194830613126948,-0.019347540399620427,1.0926409279808003,1
2095,-0.30624100517749925,-0.6637821028624339,-0.8120747507625784,-0.9620521160198675,-0.3813989343466251,1.4766361129086634,-0.9205225247855979,2.2167696070427785,0.16190999719358679,0.34580119470753096,-0.5600655075714932,2.6440736663683717,-0.5237528325617354,2.592245148191781,0.5242694613624382,1.3644178024469,0.8932866081816264,2.5061545327106907,1
429,-1.3076309634156267,1.7188173197427594,-0.3275804788134784,-0.6183962614101809,-0.5917598578997325,-1.108629541509992,-1.566606633324397,-1.1084744989001099,1.4262476895355878,-0.40735238723950745,1.4260858000684073,0.26752943367664084,2.703320645641294,0.2683659158986445,0.7747690168186062,1.0242628165703942,0.776767918266255,0.3323544534588781,0
